season,points_id,player_id,win_points,placement,match_id,location_name,nickname,cum_sum_placement,cum_sum_placement_season
2022/2023,202365110,1,91,4,65,"Victoria Bowling",Pichy,189,113
2022/2023,202365210,2,167,1,65,"Victoria Bowling",Helcl,113,59
2022/2023,202365310,3,112,2,65,"Victoria Bowling",Vrbic,176,96
2022/2023,202365410,4,101,3,65,"Victoria Bowling",Spinda,168,102
2022/2023,202366110,1,98,4,66,"Aboslutní bowling",Pichy,193,117
2022/2023,202366210,2,145,2,66,"Aboslutní bowling",Helcl,115,61
2022/2023,202366310,3,112,3,66,"Aboslutní bowling",Vrbic,179,99
2022/2023,202366410,4,148,1,66,"Aboslutní bowling",Spinda,169,103
2022/2023,202367110,1,81,4,67,"Aboslutní bowling",Pichy,197,121
2022/2023,202367210,2,162,1,67,"Aboslutní bowling",Helcl,116,62
2022/2023,202367310,3,83,3,67,"Aboslutní bowling",Vrbic,182,102
2022/2023,202367410,4,120,2,67,"Aboslutní bowling",Spinda,171,105
2022/2023,202368110,1,119,4,68,"Victoria Bowling",Pichy,201,125
2022/2023,202368210,2,152,2,68,"Victoria Bowling",Helcl,118,64
2022/2023,202368310,3,155,1,68,"Victoria Bowling",Vrbic,183,103
2022/2023,202368410,4,146,3,68,"Victoria Bowling",Spinda,174,108
2022/2023,202369110,1,121,3,69,"Victoria Bowling",Pichy,204,128
2022/2023,202369210,2,180,1,69,"Victoria Bowling",Helcl,119,65
2022/2023,202369310,3,113,4,69,"Victoria Bowling",Vrbic,187,107
2022/2023,202369410,4,177,2,69,"Victoria Bowling",Spinda,176,110
2022/2023,202370110,1,115,4,70,"Victoria Bowling",Pichy,208,132
2022/2023,202370210,2,136,2,70,"Victoria Bowling",Helcl,121,67
2022/2023,202370310,3,145,1,70,"Victoria Bowling",Vrbic,188,108
2022/2023,202370410,4,121,3,70,"Victoria Bowling",Spinda,179,113
2023/2024,202371110,1,122,3,71,"Xbowling Strašnice",Pichy,211,3
2023/2024,202371210,2,135,2,71,"Xbowling Strašnice",Helcl,123,2
2023/2024,202371310,3,102,4,71,"Xbowling Strašnice",Vrbic,192,4
2023/2024,202371410,4,136,1,71,"Xbowling Strašnice",Spinda,180,1
2023/2024,202372110,1,128,3,72,"Xbowling Strašnice",Pichy,214,6
2023/2024,202372210,2,182,1,72,"Xbowling Strašnice",Helcl,124,3
2023/2024,202372310,3,113,4,72,"Xbowling Strašnice",Vrbic,196,8
2023/2024,202372410,4,133,2,72,"Xbowling Strašnice",Spinda,182,3
2023/2024,202373110,1,103,4,73,"Xbowling Strašnice",Pichy,218,10
2023/2024,202373210,2,156,1,73,"Xbowling Strašnice",Helcl,125,4
2023/2024,202373310,3,116,3,73,"Xbowling Strašnice",Vrbic,199,11
2023/2024,202373410,4,138,2,73,"Xbowling Strašnice",Spinda,184,5
2023/2024,202374110,1,122,4,74,"Xbowling Strašnice",Pichy,222,14
2023/2024,202374210,2,172,1,74,"Xbowling Strašnice",Helcl,126,5
2023/2024,202374310,3,123,3,74,"Xbowling Strašnice",Vrbic,202,14
2023/2024,202374410,4,163,2,74,"Xbowling Strašnice",Spinda,186,7
2023/2024,202375110,1,83,4,75,"Xbowling Strašnice",Pichy,226,18
2023/2024,202375210,2,162,1,75,"Xbowling Strašnice",Helcl,127,6
2023/2024,202375310,3,127,3,75,"Xbowling Strašnice",Vrbic,205,17
2023/2024,202375410,4,160,2,75,"Xbowling Strašnice",Spinda,188,9
2023/2024,202376110,1,118,3,76,"Xbowling Strašnice",Pichy,229,21
